NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
903,"Local Government",146.988209555,159.595553155,12.6073436002,0.0857711216325,0.731477867308,0.000315699612909
902,"State Government",40.565982014,47.3874724217,6.82149040768,0.168157901498,0.20187413738,0.000407456254227
561,"Administrative and Support Services",7.54916522771,11.4471056425,3.89794041479,0.516340588292,0.0375679607055,2.49022700963E-5
901,"Federal Government",5.8435427941,5.99005416463,0.146511370525,0.0250723534826,0.0290800346062,9.04579099772E-5
111,"Crop Production",0,0,0,0,0,0
112,"Animal Production and Aquaculture",0,0,0,0,0,0
113,"Forestry and Logging",0,0,0,0,0,0
114,"Fishing, Hunting and Trapping",0,0,0,0,0,0
115,"Support Activities for Agriculture and Forestry",0,0,0,0,0,0
211,"Oil and Gas Extraction",0,0,0,0,0,0
212,"Mining (except Oil and Gas)",0,0,0,0,0,0
213,"Support Activities for Mining",0,0,0,0,0,0
221,Utilities,0,0,0,0,0,0
236,"Construction of Buildings",0,0,0,0,0,0
237,"Heavy and Civil Engineering Construction",0,0,0,0,0,0
238,"Specialty Trade Contractors",0,0,0,0,0,0
311,"Food Manufacturing",0,0,0,0,0,0
312,"Beverage and Tobacco Product Manufacturing",0,0,0,0,0,0
313,"Textile Mills",0,0,0,0,0,0
314,"Textile Product Mills",0,0,0,0,0,0
315,"Apparel Manufacturing",0,0,0,0,0,0
316,"Leather and Allied Product Manufacturing",0,0,0,0,0,0
321,"Wood Product Manufacturing",0,0,0,0,0,0
322,"Paper Manufacturing",0,0,0,0,0,0
323,"Printing and Related Support Activities",0,0,0,0,0,0
324,"Petroleum and Coal Products Manufacturing",0,0,0,0,0,0
325,"Chemical Manufacturing",0,0,0,0,0,0
326,"Plastics and Rubber Products Manufacturing",0,0,0,0,0,0
327,"Nonmetallic Mineral Product Manufacturing",0,0,0,0,0,0
331,"Primary Metal Manufacturing",0,0,0,0,0,0
332,"Fabricated Metal Product Manufacturing",0,0,0,0,0,0
333,"Machinery Manufacturing",0,0,0,0,0,0
334,"Computer and Electronic Product Manufacturing",0,0,0,0,0,0
335,"Electrical Equipment, Appliance, and Component Manufacturing",0,0,0,0,0,0
336,"Transportation Equipment Manufacturing",0,0,0,0,0,0
337,"Furniture and Related Product Manufacturing",0,0,0,0,0,0
339,"Miscellaneous Manufacturing",0,0,0,0,0,0
423,"Merchant Wholesalers, Durable Goods",0,0,0,0,0,0
424,"Merchant Wholesalers, Nondurable Goods",0,0,0,0,0,0
425,"Wholesale Electronic Markets and Agents and Brokers",0,0,0,0,0,0
441,"Motor Vehicle and Parts Dealers",0,0,0,0,0,0
444,"Building Material and Garden Equipment and Supplies Dealers",0,0,0,0,0,0
445,"Food and Beverage Stores",0,0,0,0,0,0
449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",0,0,0,0,0,0
455,"General Merchandise Retailers",0,0,0,0,0,0
456,"Health and Personal Care Retailers",0,0,0,0,0,0
457,"Gasoline Stations and Fuel Dealers",0,0,0,0,0,0
458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",0,0,0,0,0,0
459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",0,0,0,0,0,0
481,"Air Transportation",0,0,0,0,0,0
482,"Rail Transportation",0,0,0,0,0,0
483,"Water Transportation",0,0,0,0,0,0
