Company,"Unique Postings from Aug 2024 - Jul 2025"
"Marriott International",48
"Aimbridge Hospitality",45
Hilton,44
"Crothall Healthcare",17
"Accor Group",16
Hyatt,13
"Fairmont Hotels & Resorts",10
"Compass Group",9
"1 Hotel West Hollywood",8
"Better Talent",7
"InterContinental Hotels Group",7
Sodexo,7
"Proper Hospitality",7
Estatejobs.Com,7
"Four Seasons",6
"Kaiser Permanente",6
"CommonSpirit Health",6
"HEI Hotels & Resorts",6
"Park Hotels & Resorts",6
Ramada,5
"Evolution Hospitality",5
"Waldorf Astoria Beverly Hills",5
"Hotel Angeleno",5
"Hhm Hotels",5
"Commerce Casino Hotel",4
"Holiday Inn",4
"Mondrian & Co",4
"Crescent Hotels & Resorts",4
"Malibu Beach Inn",4
"Hotel Figueroa",4
"Lodging Dynamics",4
"Best Western Hotels & Resorts",4
"Sheraton Hotels & Resorts",3
"Hotel Management",3
"The Georgian Hotel",3
"The Hoxton",3
"Island Hospitality Management",3
"Highgate Hotels",3
"Schulte Hospitality Group",3
"Commerce Casino",3
"Four Seasons Hotels and Resorts",3
"Pacifica Hotel Company",3
"The Fairmont Hotel Corporation",3
Aramark,3
"University of California",3
Terranea,3
"Sheraton Gateway Los Angeles",3
"Fairmont Miramar Hotel & Bungalows",3
"Springboard Hospitality",3
"Regent, L.P.",3
"Westin Pasadena",3
"Mosaic Ensemble Hospitality Fund, L.P.",3
"Los Angeles County Department Of Human Resources",2
"University of California-Los Angeles",2
AKA,2
Lovelife,2
"La Quinta Inn & Suites",2
"County Of Los Angeles",2
"Tharaldson Hospitality Management",2
"Atrium Hospitality",2
"Lodging Dynamics Hospitality Group",2
"Homewood Suites",2
"Santa Monica Proper Hotel",2
"United States Department of Veterans Affairs",2
"Fashion Nova",2
"San Dimas Retirement Center",2
"Maclay Healthcare",2
"Sunset Tower Hotel",2
"Sunstone Century Lessee",2
"Andaz West Hollywood",2
"The Huntley Hotel",2
"Soho House & Co",2
"Glendale Express Hotel",1
"The Glenmark Hotel",1
"Casa Del Mar",1
MercyOne,1
"The Line La",1
"The Ranch Malibu",1
"Ivy Lane Staffing",1
"Sofitel Noosa Pacific Resort",1
"Hk Integrated Services Us",1
"Xanitos, Inc.",1
"Sand & Sea",1
"Ms Foods",1
Exl,1
"ISS Global",1
"Monte Vista Healthcare Center",1
Inkspec,1
"Omni Hotels & Resorts",1
"Dorchester Services Limited",1
"The Calendar Group",1
"The Eden Company",1
"Los Angeles Country Club",1
Cedars-Sinai,1
"Quality Inn & Suites",1
"The Langham Collection Limited",1
"The Langham Hotel",1
"Reid & Associates",1
"The Shay Agency",1
Telecare,1
Sumeru,1
"St. Francis Medical Center",1
"Burns & McDonnell",1
"Sage Hospitality Group",1
"The Line Dc",1
"Sage Hospitality",1
"Tpg Hotels And Resorts",1
"Motel 6",1
"Hotel Indigo",1
"Prewett Enterprises",1
"Columbia Hospitality",1
"Ayres Suites - Diamond Bar - Tesla Destination",1
"Stonebridge Hospitality Associates",1
"Servicon, Llc.",1
"Remington Lodging and Hospitality",1
"North Hills Healthcare And Wellness Centre",1
"Freehand Los Angeles",1
"St. Mary's Medical Center",1
"Windsor Capital Group",1
"New Vista Health Services",1
"Golden Haven",1
"Sonesta Hotels",1
"Knightsbridge Nanny Agency",1
Tarzana,1
"California Healthcare And Rehabilitation Center",1
Montecedro,1
"Dafne America Gabriela Garcia Palacios",1
"Lynwood Healthcare Center",1
"O.C. Vacuum",1
"Americorp International Group",1
"University of Southern California",1
"Marina Del Rey Hospital",1
"Glendale Memorial Hospital And Health Center",1
"The Beverly Hills Hotel",1
"PRIDE Industries",1
"The Now",1
"Vista Investments",1
Dtla,1
"Atria Senior Living",1
"Granada Post Acute",1
"Journal Hotels",1
"Casa Colina Hospital & Centers For Healthcare",1
"Best Employment Ltd",1
"Marina Del Rey Hotel",1
"La Floors",1
"Blue Sky Hospitality Solutions",1
"Choice Hotels",1
"Courtyard LAX - Hawthorne / TownePlace Suites LAX - Hawthorne",1
"The Montgomery Company",1
"Navy Exchange Service Command",1
"Beverly Hills Plaza Hotel & Spa",1
"Twenty Four Seven Hotels",1
"Omni Los Angeles Hotel",1
Greens,1
"Pacific Palms Resort",1
"Sanserve Janitorial",1
"Hirecare Healthcare Personnel",1
"Sunset Marquis Hotel",1
"The Hongkong And Shanghai Hotels, Limited",1
"The Belamar Hotel",1
"Kasa International Limited",1
Freehand,1
"Viking Cruises",1
"Dream Hollywood",1
"Onni Level Properties (washington)",1
"1730 Western",1
Jdi,1
"Jonathan Club",1
"Corporate Offices",1
"Truex Métier",1
"Queen Mary Hotel",1
"Shake The Dust",1
"Nancy Pastor",1
"Morgan & Mallet International",1
"Private Confidential",1
Unclassified,118
