Company,"Unique Postings from Aug 2024 - Jul 2025"
Brightview,26
"Archdiocese Of L.a Education",9
"Mlk Jr Community Hospital",9
"Meier Brothers Landscape",7
"Formla Landscaping",6
Landsystems,5
"Campion Walker Garden Design",5
"Archdiocese Los Angeles Ed Off",5
"ABM Industries",4
Farmscape,4
"Gothic Landscape",4
"Hollywood Park Management Company",4
"Mse Landscape Professionals",4
"Your Path",4
"Moon Valley Nurseries",4
"Stay Green",3
"Occidental College",3
"J. Paul Getty Trust",3
"In-N-Out Burger",3
"Hollywood Park",3
"Oakridge Landscape",3
"PRIDE Industries",3
"Kids Empire",3
"Na Pali Coast",3
"Desert Haven Enterprises",3
"La Conservation Corps",3
"The Haus Plant",2
"Los Angeles County Department Of Human Resources",2
"The Standard Design Group Nurseries",2
"Focus Company Co., Ltd",2
"Pepperdine University",2
"Cam Property Services",2
Landcare,2
"ST Clair PM Church",2
"Rolling Hills Country Club",2
Getty&Co.,2
"Self Realization Fellowship",2
"Ace Parking Management",2
"Armstrong Garden Centers",2
"Kaiser Permanente",2
"Live Art Plantscapes",2
"Gomez Landscape & Tree Care",2
"Sanchez Landscape",2
"Los Angeles Conservation Corps",2
"Waste Management",2
"Bennett Landscape",2
"Able Storage",2
"Mt San Antonio Gardens",2
"Barbara Engel",1
"Be Happy Property Services",1
"California State University-Chancellors Office",1
"University of California-Los Angeles",1
"Pearson Education",1
"Azusa Pacific University",1
Edlc,1
"Higher Ground Agency",1
Liliput,1
Forage,1
"Growing Communities",1
"City Of Glendale",1
"Claremont McKenna College",1
"Sky Zone Franchise Group",1
"The Langham Hotel",1
"County Of Los Angeles",1
"Highland Hall Waldorf School",1
"Babylon Builders",1
"Helix Environmental Planning",1
"State of California",1
"Landscape Development",1
"Harvest Landscape Enterprises",1
"Fertig & Gordon Companies",1
"Mystic Water Gardens",1
"Banyan Water",1
"Los Angeles County Fair Association",1
"Bel-Air Bay Club",1
"Baltazar Construction",1
"Inner Gardens",1
"Faraday Future",1
"Mc Landscaping",1
Quakestrong,1
"G & L Design Building And Landscape",1
"H2o Dynamics Landscape",1
"Environmental Landscape Development",1
Phb-,1
"Greenbee Landscape",1
"Quintanilla Landscaping",1
"Los Angeles County Office Of Education",1
"West Coast Dental Services",1
"Non Profit Organization",1
"Fs Commercial Landscape",1
"Alhambra Golf Course Clubhouse Corporation",1
"New Economics For Women",1
"Common Area Maintenance Services",1
"Pierre Landscape",1
"The County Of Los Angeles Public Facilities Corporation",1
"Da Vinci Schools",1
"Virginia Country Club",1
"Super Star Car Wash",1
"Los Angeles County Public Works",1
"J Paul Getty Trust The",1
"America's Swimming Pool",1
"City Of Calabasas",1
"City Of Carson",1
"Cal State University Long Beach",1
"Universal Studios Hollywood",1
"Private Family Office",1
"J And H Property Management",1
"Vip Christmas Lights",1
"La Commons",1
"Nancy Pastor",1
"Revival Roots",1
Vans,1
"ASM Global",1
Unclassified,72
