NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
903,"Local Government",158.721486807,166.801970233,8.08048342584,0.0509098269452,0.296099082989,0.000340900212998
561,"Administrative and Support Services",126.954657673,148.027781503,21.0731238306,0.165989371457,0.236837232779,0.000418782617678
901,"Federal Government",64.235149369,65.3322943786,1.09714500963,0.0170801347924,0.119832350404,0.000994358655994
713,"Amusement, Gambling, and Recreation Industries",40.7643752178,44.1862573443,3.42188212651,0.0839429552943,0.0760470076447,0.000848879749674
611,"Educational Services",16.12819491,16.6804194837,0.552224573709,0.034239701144,0.0300875692332,8.95798351086E-5
902,"State Government",13.9029278803,14.7577318197,0.854803939392,0.0614837354227,0.0259362754156,0.000139644959536
455,"General Merchandise Retailers",13.1203520499,12.6209704825,-0.499381567321,-0.038061598151,0.0244763597456,0.000179337818814
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",12.9060130415,13.8327852129,0.926772171378,0.0718093316967,0.0240765047222,0.000183644683215
488,"Support Activities for Transportation",10.1014653807,10.0126830185,-0.0887823622339,-0.00878905771468,0.0188445477436,0.000175775393227
721,Accommodation,9.89878103709,12.6760947775,2.77731374043,0.280571287518,0.0184664348019,0.000203330295131
336,"Transportation Equipment Manufacturing",9.02447666447,10.2330490132,1.20857234872,0.133921599408,0.0168353971385,0.000145953941798
541,"Professional, Scientific, and Technical Services",7.59472419339,7.53477083995,-0.0599533534387,-0.0078940790886,0.0141681565266,2.03419656673E-5
531,"Real Estate",6.21959892961,6.35477181316,0.135172883547,0.0217333762317,0.011602824398,6.5634613688E-5
551,"Management of Companies and Enterprises",5.92327147941,5.66113571575,-0.262135763662,-0.0442552337121,0.011050017793,9.34677470425E-5
622,Hospitals,5.51567692545,5.17952227732,-0.336154648135,-0.0609453114602,0.0102896394971,4.47806611059E-5
458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",5.32401273201,5.470994246,0.146981513996,0.0276072807099,0.00993208493367,9.41185847653E-5
522,"Credit Intermediation and Related Activities",3.41105782102,3.09619141049,-0.314866410529,-0.0923075559111,0.00636341753812,6.99687127022E-5
812,"Personal and Laundry Services",3.38263572209,3.60906432539,0.226428603295,0.0669385124199,0.00631039536955,3.37734406172E-5
237,"Heavy and Civil Engineering Construction",3.2593284534,3.47354391654,0.214215463133,0.065723803598,0.00608036243628,0.000181837550387
532,"Rental and Leasing Services",3.06158137544,3.16979954869,0.10821817325,0.0353471490641,0.00571146009276,0.000141036029449
238,"Specialty Trade Contractors",2.57961089891,2.64401276925,0.0644018703432,0.0249657304404,0.00481233156896,1.92388012268E-5
623,"Nursing and Residential Care Facilities",2.57905253246,2.78477115494,0.205718622477,0.0797651927939,0.00481128992175,2.65310009007E-5
624,"Social Assistance",2.0846469503,1.95177610126,-0.132870849037,-0.0637378185395,0.00388896338332,5.70221386468E-6
339,"Miscellaneous Manufacturing",1.94209355248,1.71716188772,-0.224931664758,-0.115819170745,0.00362302629301,0.000100538611118
519,"Web Search Portals, Libraries, Archives, and Other Information Services",1.88663779934,2.07611357018,0.189475770841,0.100430390458,0.00351957213579,0.000278220434275
493,"Warehousing and Storage",1.331075464,1.30211534462,-0.0289601193747,-0.0217569327645,0.00248315607551,6.02074937064E-5
517,Telecommunications,1.30223980907,0.868456543956,-0.433783265117,-0.333105517198,0.00242936240741,9.97389175528E-5
521,"Monetary Authorities-Central Bank",1.18181177563,0,-1.18181177563,-1,0.00220470076276,0.00341260510587
524,"Insurance Carriers and Related Activities",0.955185562669,0.691508715437,-0.263676847232,-0.276047772849,0.00178192363794,1.65077182135E-5
482,"Rail Transportation",0.749682665408,0.740593087812,-0.00908957759534,-0.0121245668531,0.00139855261077,0.000371827311633
111,"Crop Production",0,0,0,0,0,0
112,"Animal Production and Aquaculture",0,0,0,0,0,0
113,"Forestry and Logging",0,0,0,0,0,0
114,"Fishing, Hunting and Trapping",0,0,0,0,0,0
