NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",7028.24098882,6843.64627198,-184.594716847,-0.0262647107777,0.193571596498,0.12424615202
445,"Food and Beverage Stores",6344.83243763,6257.33384441,-87.4985932225,-0.0137905286046,0.174749179264,0.0620038036595
459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",5604.67727521,5221.36675598,-383.310519235,-0.0683911847931,0.154363848614,0.11681377586
455,"General Merchandise Retailers",4766.12296628,4663.47191395,-102.651052326,-0.0215376424512,0.131268411706,0.0651465824791
441,"Motor Vehicle and Parts Dealers",2136.68642846,2016.60806403,-120.078364432,-0.0561984027385,0.0588485516975,0.0478326667522
444,"Building Material and Garden Equipment and Supplies Dealers",1896.61864111,1850.48676343,-46.1318776851,-0.0243232227529,0.0522366121043,0.0721899543043
449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",1772.33423332,1543.51264137,-228.821591951,-0.129107471745,0.0488135747789,0.0708314541106
456,"Health and Personal Care Retailers",1646.99221168,1701.68526397,54.6930522845,0.0332078390514,0.0453614086857,0.0462244751397
457,"Gasoline Stations and Fuel Dealers",1306.32448519,1276.57984535,-29.7446398404,-0.0227697177675,0.0359787486719,0.0948944845052
424,"Merchant Wholesalers, Nondurable Goods",429.942786897,413.665473515,-16.2773133819,-0.0378592544821,0.0118414709733,0.00452041157294
532,"Rental and Leasing Services",417.9844005,431.935748922,13.9513484217,0.0333776772649,0.0115121134641,0.0192550362016
423,"Merchant Wholesalers, Durable Goods",351.021995226,335.069055783,-15.9529394427,-0.0454471220029,0.00966783696376,0.00374698315116
722,"Food Services and Drinking Places",268.475182324,291.616387444,23.1412051205,0.0861949507592,0.00739433518931,0.000664348494209
311,"Food Manufacturing",267.9411046,273.352481939,5.41137733861,0.020196144771,0.00737962563713,0.00659168228604
531,"Real Estate",210.574216808,218.067877035,7.49366022648,0.0355867890194,0.00579962858329,0.00222216215697
561,"Administrative and Support Services",182.560360406,176.218729885,-6.34163052077,-0.034737171348,0.00502807181445,0.000602207961618
812,"Personal and Laundry Services",165.147540526,186.166340991,21.0188004654,0.127272864001,0.00454848846648,0.00164889190302
541,"Professional, Scientific, and Technical Services",127.259389843,127.819765983,0.560376140277,0.00440341683996,0.0035049741892,0.000340855845862
903,"Local Government",114.590489519,118.878554898,4.28806537878,0.0374207789563,0.0031560477273,0.000246116156485
713,"Amusement, Gambling, and Recreation Industries",113.152499118,117.285123374,4.13262425657,0.0365226070019,0.00311644264004,0.00235629430386
711,"Performing Arts, Spectator Sports, and Related Industries",108.102752493,118.856188973,10.7534364803,0.0994742153397,0.00297736267426,0.00126903095737
811,"Repair and Maintenance",107.966277361,104.688912063,-3.27736529802,-0.0303554533706,0.0029736038804,0.0021181228143
624,"Social Assistance",101.040191677,110.281600155,9.24140847738,0.0914626974074,0.00278284584217,0.000276379068307
551,"Management of Companies and Enterprises",94.3330774426,94.5918680648,0.258790622259,0.00274337092857,0.00259811870882,0.00148855244113
522,"Credit Intermediation and Related Activities",67.863110561,57.7014546688,-10.1616558922,-0.149737549726,0.00186908369755,0.00139202990247
512,"Motion Picture and Sound Recording Industries",67.0510577837,67.4586798987,0.407622114955,0.00607927940927,0.00184671816501,0.000521862029514
611,"Educational Services",58.26576357,61.4983684577,3.2326048877,0.0554803488299,0.00160475386279,0.000323621925591
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",57.3956286569,59.6918900257,2.29626136878,0.040007600274,0.00158078863386,0.000816704741326
315,"Apparel Manufacturing",54.8975540433,43.5379806916,-11.3595733518,-0.206923123438,0.00151198673991,0.00264823747423
721,Accommodation,45.77875012,52.9118589794,7.13310885937,0.155817029532,0.00126083692357,0.000940338687941
712,"Museums, Historical Sites, and Similar Institutions",43.2547702537,49.1396177402,5.88484748647,0.136050832127,0.00119132154795,0.00678130244269
517,Telecommunications,36.6770665597,29.1633280361,-7.51373852368,-0.204862035829,0.00101015863573,0.00280910696493
902,"State Government",29.3716663858,31.4920958073,2.12042942154,0.072193024178,0.000808953529504,0.000295017366074
488,"Support Activities for Transportation",26.8022471141,27.6683562577,0.866109143594,0.0323147958418,0.000738186663188,0.000466385355815
339,"Miscellaneous Manufacturing",26.1672651302,27.1254133835,0.958148253294,0.0366162932399,0.000720698008976,0.00135463118632
621,"Ambulatory Health Care Services",23.0151955521,25.6142424241,2.599046872,0.112927429451,0.000633883805894,7.84577543791E-5
238,"Specialty Trade Contractors",20.4790093805,19.9955243721,-0.483485008464,-0.0236088083891,0.000564032244597,0.000152732953238
312,"Beverage and Tobacco Product Manufacturing",18.9405825602,20.4857355582,1.54515299804,0.081578958468,0.000521660940571,0.00259029395103
425,"Wholesale Electronic Markets and Agents and Brokers",17.9756126113,14.1440710599,-3.8315415514,-0.213152209844,0.000495083768008,0.0018709591274
236,"Construction of Buildings",15.9797159149,15.2249993831,-0.754716531824,-0.0472296588902,0.000440112842767,0.00024765063956
516,"Broadcasting and Content Providers",13.0350180835,14.0161936212,0.981175537683,0.0752722805135,0.000359010065937,0.000401773476099
622,Hospitals,13.0297805598,13.4804528699,0.450672310136,0.03458786647,0.00035886581422,0.000105786142919
493,"Warehousing and Storage",12.5738674771,13.0466043237,0.472736846651,0.0375967734281,0.000346309070159,0.000568743897297
323,"Printing and Related Support Activities",9.86615225643,7.91738244743,-1.948769809,-0.197520751591,0.000271733261084,0.00094519249441
623,"Nursing and Residential Care Facilities",9.31108285688,9.96641937371,0.65533651683,0.070382417051,0.000256445556805,9.57841472997E-5
325,"Chemical Manufacturing",9.03368646025,9.5848197756,0.551133315352,0.0610086831967,0.000248805513806,0.000468802742283
337,"Furniture and Related Product Manufacturing",8.3373545676,6.79636566731,-1.54098890028,-0.184829478918,0.0002296271623,0.000806870323357
316,"Leather and Allied Product Manufacturing",8.03238489189,5.3779798177,-2.6544050742,-0.330462883679,0.0002212276969,0.00552781667597
999,"Unclassified Industry",6.9976250759,0.285430916637,-6.71219415927,-0.959210315851,0.000192728373969,0.00952057833456
332,"Fabricated Metal Product Manufacturing",5.63406781956,5.18868437525,-0.445383444316,-0.0790518429276,0.00015517332208,0.0001530226907
333,"Machinery Manufacturing",3.91073305982,4.05461281403,0.143879754212,0.0367909934048,0.00010770928929,0.000292851749679
513,"Publishing Industries",3.53375196579,3.40276562841,-0.130986337377,-0.0370672131617,9.73264876282E-5,0.000174145299908
484,"Truck Transportation",3.30076923336,3.36573671343,0.0649674800717,0.0196825271561,9.09096843989E-5,7.13274012077E-5
115,"Support Activities for Agriculture and Forestry",3.02694169069,2.83278002139,-0.194161669307,-0.0641445026522,8.33679346662E-5,0.00240299211906
336,"Transportation Equipment Manufacturing",2.70380843869,2.61037333102,-0.0934351076686,-0.0345568518581,7.4468208608E-5,4.37290176666E-5
523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",2.58401407615,2.64064479473,0.0566307185836,0.0219157933799,7.11688359705E-5,8.42594376973E-5
901,"Federal Government",2.2118709976,2.10294435857,-0.108926639026,-0.0492463797137,6.09192827813E-5,3.42397128988E-5
321,"Wood Product Manufacturing",2.2049192114,1.87454361626,-0.330375595132,-0.149835691677,6.07278169002E-5,0.000666297525139
111,"Crop Production",2.16727624863,2.10300320375,-0.0642730448824,-0.0296561386316,5.96910555811E-5,0.000559694463357
524,"Insurance Carriers and Related Activities",2.1524796877,1.93915596226,-0.213323725441,-0.0991060341522,5.92835291563E-5,3.71996076298E-5
327,"Nonmetallic Mineral Product Manufacturing",2.07551631216,2.0523011269,-0.023215185254,-0.0111852579129,5.71638062414E-5,0.000297341806502
487,"Scenic and Sightseeing Transportation",1.85120846438,1.87900756357,0.0277990991942,0.0150167308162,5.09859264176E-5,0.00243768141951
326,"Plastics and Rubber Products Manufacturing",1.51483600722,1.39722292717,-0.117613080051,-0.0776408003842,4.17215665793E-5,0.000130414895886
313,"Textile Mills",1.28528306689,1.02124552321,-0.264037543686,-0.205431434123,3.53992265784E-5,0.000342570722305
221,Utilities,1.15554766809,1.090506975,-0.0650406930883,-0.0562855993608,3.18260582268E-5,9.19602040324E-5
814,"Private Households",1.00489228658,0.883823540998,-0.121068745584,-0.120479326193,2.76767123569E-5,9.30917586307E-6
