Company,"Unique Postings from Aug 2024 - Jul 2025"
"Abercrombie & Fitch",343
"Dollar Tree",266
Macy's,211
"CVS Health",209
Walmart,179
"Extra Space Storage",164
"Kaiser Permanente",162
"Panda Express",153
Nordstrom,150
"Spirit Halloween",139
Claire's,135
Kroger,134
"Hobby Lobby Stores",120
Starbucks,117
Lids,114
Journeys,113
GameStop,103
Gap,99
Goodwill,90
"Company Rocket",86
L'Oréal,86
EssilorLuxottica,82
"Whole Foods",81
TJX,81
VF,80
"Spencer Gifts",77
Lululemon,71
"The Estée Lauder Companies",68
Bloomingdale's,66
Zumiez,64
"Sprouts Farmers Market",63
Spectrum,63
"Urban Outfitters",60
"Family Dollar",59
Nike,59
"American Tire Depot",57
AT&T,56
Icing,56
"Ross Stores",54
"Old Navy",51
Tillys,51
"The Salvation Army",51
"Compass Group",51
"Harbor Freight Tools",50
"O'Reilly Auto Parts",50
PetCo,50
H&M,48
"Bath & Body Works",48
"Tcc Wireless",47
"Five Below",46
"Big 5 Sporting Goods",46
"Big 5",45
"Ulta Beauty",45
"Walgreens Boots Alliance",42
"Sally Beauty Supply",42
"Skechers USA Retail",42
"Lovisa Agency",42
"Advantage Solutions",41
"Circle K",41
"Grocery Outlet",39
PetSmart,39
"United Pacific",38
Vans,38
Skechers,36
Amazon,36
"Floor & Decor",36
"Free People",34
7-Eleven,34
"Shoe Palace",34
"PIH Health",33
Staples,33
"Cotton On Group",33
SalonCentric,32
Tesla,31
"El Super",31
"Centinela Feed & Pet Supplies",31
"Del Taco",30
Kohl's,30
"Chico's FAS",30
adidas,30
Aeropostale,29
AutoZone,28
Burlington,28
"Signet Jewelers",27
"Total Wine & More",27
"Bridgestone Corporation",27
"Pet Food Express",27
JOANN,26
"Rainbow Agency",26
"2020 Companies",26
"Abode Communities",25
"Alo Yoga",25
"The Home Depot",24
"Centinela Feed",24
"Levi Strauss",23
"Everything But Water",23
"Advance Stores",23
Rent-A-Center,23
"University of California",23
Wss,22
"Radc Enterprises",22
"Lush Handmade Cosmetics",21
"Buck Mason",21
"Ace Hardware",21
FedEx,21
"Brighton Collectibles",21
"Brobston Group",21
Sephora,21
Marshalls,20
Williams-Sonoma,20
HomeGoods,20
"Cherry Hill Programs",20
GoPuff,20
"Crate & Barrel",20
"University of Southern California",20
"7 Leaves Cafe",20
Michaels,20
"Mother's Market & Kitchen",20
"Warby Parker",20
"Mac Foodservice",20
"Finish Line",19
"The Vitamin Shoppe",19
"Hing Wa Lee Jewelers",19
"Coach America",19
"Office Depot",19
"Psycho Bunny",19
"Bon Appetit",19
"The ODP Corporation",18
"Honey Baked Ham",18
"T-Mobile US",18
"Dunn-Edwards Corporation",18
Spencer's,18
"Best Buy",18
"Adventist Health",18
"Sally Beauty Holdings",18
"Turner's Outdoorsman",18
Vuori,18
"Xanitos, Inc.",17
"Pandora Jewelry",17
"Wireless Vision",17
"Hot Topic",17
Shell,17
Lenscrafters,17
"Rite Aid",17
"Kinecta Federal Credit Union",17
ALDI,16
"National Vision",16
Cedars-Sinai,16
"Monro Auto Service and Tire Centers",16
"Guitar Center Stores",16
Fabletics,16
Torrid,16
"Swatch Group",16
"Sunglass Hut",16
Grg,15
"Abc Imaging",15
"Living Spaces",15
"NAPA Auto Parts",15
"Healthy Spot",15
"Foot Locker",15
"Daiso Co.,Ltd.",15
"Or Mania USA",15
"Lucky Brand",15
"Francesca's Operations",14
"Marukai Corporation",14
"Claire's Boutiques",14
"American Eagle Outfitters",14
"Ashley Furniture",14
Sandro,14
Loft,14
Kering,14
"Cycle Gear",13
Carter's,13
Aritzia,13
Untuckit,13
"Lakewood Economic Action Program",13
"Designer Brands",13
Disney,13
Tapestry,13
"Miniso USA",13
Caskx,12
Edikted,12
NBC,12
"All City Management Services",12
"State of California",12
RadNet,12
"Tommy Bahama",12
Acima,12
McDonald's,12
"Centric Brands",11
"Under Armour",11
"Domino's Pizza",11
"Beauty Systems Group",11
"Raytheon Technologies",11
"Toyota Motor",11
"Sam's Club",11
"Pacific Sunwear Of California",11
"Keurig Dr Pepper",11
JCPenney,11
Stiiizy,11
"William S. Hart Union High School District",11
"Pih Health Good Samaritan Hospital",11
"Banana Republic",11
"KNITWELL GROUP",10
Volcom,10
"Skin Laundry",10
Mejuri,10
"Dollar General",10
"William Warren Properties",10
"Levy Restaurants",10
"Floyd's 99 Barbershop",10
"Levy Restaurants",10
"DFS Group",10
"Vroman's Bookstore, Book Soup, The 1894",10
"Bottega Veneta",10
Maje,10
Levi's,10
"Wushiland USA",10
"Dr Martens - Airwair International Ltd",9
Uniqlo,9
"Forever 21",9
