NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
561,"Administrative and Support Services",2085.98738755,2268.52316083,182.535773277,0.0875056936423,0.696037567593,0.00688100204133
903,"Local Government",105.193140164,103.799705898,-1.39343426594,-0.0132464366381,0.0351001055154,0.000225932635896
711,"Performing Arts, Spectator Sports, and Related Industries",98.2876488819,110.374820881,12.0871719986,0.122977527045,0.0327959298605,0.00115381029883
611,"Educational Services",96.9646619311,95.3104444103,-1.6542175208,-0.0170600040041,0.0323544849004,0.000538564822389
721,Accommodation,76.2418101801,91.0418695755,14.8000593953,0.194119989549,0.0254398298011,0.00156607866233
622,Hospitals,68.6413434497,69.0069702568,0.36562680715,0.00532662661852,0.0229037596373,0.000557285131167
455,"General Merchandise Retailers",56.223571067,54.5742950207,-1.64927604633,-0.0293342456736,0.0187602848801,0.000768501680655
902,"State Government",36.4971513845,38.5143738236,2.0172224391,0.0552706817541,0.0121781122097,0.000366587762819
551,"Management of Companies and Enterprises",36.3231642169,35.2550852838,-1.06807893312,-0.0294048978426,0.0121200573981,0.000573170474561
531,"Real Estate",30.5829700203,30.7889264342,0.205956413836,0.00673434966253,0.0102047098605,0.000322738080933
488,"Support Activities for Transportation",29.1721031991,30.3180535496,1.14595035054,0.0392824042447,0.00973394176466,0.000507623173254
713,"Amusement, Gambling, and Recreation Industries",27.8422034869,27.3820603589,-0.460143127957,-0.0165268215274,0.009290190203,0.000579787684713
712,"Museums, Historical Sites, and Similar Institutions",21.1197149773,22.8861934377,1.76647846037,0.0836412073868,0.00704707762318,0.00331106081305
541,"Professional, Scientific, and Technical Services",20.9306539417,20.2784089496,-0.652244992092,-0.0311621889077,0.00698399306947,5.60613701082E-5
623,"Nursing and Residential Care Facilities",20.5170995099,22.0528032766,1.53570376666,0.0748499448432,0.00684600114178,0.000211061689798
624,"Social Assistance",15.9477826701,17.3716905837,1.42390791368,0.0892856356983,0.00532134370725,4.36225747669E-5
512,"Motion Picture and Sound Recording Industries",15.6277140973,14.9466804834,-0.681033613913,-0.0435785815937,0.00521454548203,0.000121631348782
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",13.5278249679,13.1965606348,-0.331264333064,-0.0244876270835,0.00451386927919,0.000192492687154
621,"Ambulatory Health Care Services",13.3743258021,14.6253793039,1.25105350177,0.0935414255848,0.00446265075957,4.5592468089E-5
458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",11.8186605685,11.9563361864,0.137675617848,0.0116490034594,0.00394356735013,0.000208931808116
722,"Food Services and Drinking Places",9.55760891251,10.439134101,0.881525188529,0.0922328164501,0.00318911557144,2.36505401889E-5
459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",8.9803805272,8.35769053811,-0.622689989086,-0.0693389313738,0.00299651007264,0.000187170840805
493,"Warehousing and Storage",7.1495088404,7.40962672709,0.260117886692,0.0363826232681,0.00238559771379,0.000323388132495
901,"Federal Government",6.52512075488,6.50409219467,-0.0210285602107,-0.00322270820735,0.00217725629866,0.000101008721358
336,"Transportation Equipment Manufacturing",6.1574910907,6.74812016071,0.590629070014,0.0959204100037,0.00205458822369,9.95858407844E-5
516,"Broadcasting and Content Providers",6.00624854757,6.4084067257,0.402158178128,0.0669566327372,0.002004122678,0.000185128347487
445,"Food and Beverage Stores",5.28254466928,5.31425556837,0.0317108990901,0.00600295900468,0.00176264226919,5.16227758127E-5
521,"Monetary Authorities-Central Bank",5.19850193522,3.54765101784,-1.65085091738,-0.31756281674,0.0017345994821,0.0150112180406
424,"Merchant Wholesalers, Nondurable Goods",4.90382930395,4.7116984053,-0.192130898648,-0.039179768858,0.00163627519561,5.15587827331E-5
423,"Merchant Wholesalers, Durable Goods",4.76764967937,4.4092686467,-0.358381032677,-0.0751693301267,0.0015908357384,5.08922610611E-5
812,"Personal and Laundry Services",4.43003152354,4.73572916452,0.305697640983,0.06900574846,0.00147818169199,4.42310135896E-5
519,"Web Search Portals, Libraries, Archives, and Other Information Services",4.33986732079,4.79673162876,0.456864307966,0.105271492005,0.00144809633637,0.000639995536562
484,"Truck Transportation",3.95819488712,4.20518460046,0.246989713343,0.0623995837464,0.00132074256907,8.5533927037E-5
524,"Insurance Carriers and Related Activities",3.38964864211,2.6905860637,-0.69906257841,-0.206234525232,0.00113103406566,5.85806222517E-5
492,"Couriers and Messengers",2.86164064969,2.89413746197,0.0324968122832,0.0113560073613,0.00095485208061,6.65348379187E-5
444,"Building Material and Garden Equipment and Supplies Dealers",2.69574955838,2.65391499305,-0.0418345653278,-0.0155187135977,0.00089949871061,0.000102606835774
324,"Petroleum and Coal Products Manufacturing",2.61701837235,2.58302521769,-0.0339931546615,-0.0129892686351,0.000873228243424,0.000480562285719
449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",2.36849908554,2.19676196974,-0.171737115798,-0.0725088377051,0.000790304079584,9.4657221609E-5
238,"Specialty Trade Contractors",2.14481154408,2.17765040067,0.0328388565896,0.0153108354345,0.000715665597499,1.59960569957E-5
221,Utilities,2.13060703854,2.1420562976,0.0114492590655,0.00537370752017,0.000710925938215,0.000169556880592
522,"Credit Intermediation and Related Activities",2.05079765369,1.83771179263,-0.213085861063,-0.103903893531,0.000684295705247,4.20666196151E-5
312,"Beverage and Tobacco Product Manufacturing",1.95461982568,2.06352668155,0.108906855873,0.0557176666494,0.000652203765541,0.000267311731037
334,"Computer and Electronic Product Manufacturing",1.9323245874,1.8198907583,-0.1124338291,-0.0581857881607,0.000644764447588,6.82674484181E-5
332,"Fabricated Metal Product Manufacturing",1.93199800538,1.64563254849,-0.286365456883,-0.148222439198,0.000644655476001,5.24735488953E-5
441,"Motor Vehicle and Parts Dealers",1.80381460665,1.80161480514,-0.00219980151485,-0.00121952749841,0.000601884143065,4.03808728382E-5
