NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
238,"Specialty Trade Contractors",6397.28221585,6363.09690909,-34.1853067641,-0.0053437234142,0.422897717271,0.0477110873562
236,"Construction of Buildings",3973.86252184,4009.24521529,35.3826934466,0.00890385443687,0.262695521713,0.061586175893
237,"Heavy and Civil Engineering Construction",1390.05874144,1481.92234733,91.863605882,0.0660861322929,0.0918910013338,0.0775512134022
903,"Local Government",1285.56152157,1352.59376965,67.0322480865,0.0521423883354,0.0849831247923,0.00276111448638
561,"Administrative and Support Services",264.746635099,272.338057844,7.59142274512,0.0286742936026,0.0175012988111,0.000873314070554
562,"Waste Management and Remediation Services",234.92261161,267.185941142,32.2633295323,0.137335990398,0.0155297566737,0.0152973864225
541,"Professional, Scientific, and Technical Services",197.782094045,200.53397364,2.75187959547,0.0139136943046,0.0130745515465,0.000529746237549
512,"Motion Picture and Sound Recording Industries",172.377260465,162.678275052,-9.69898541291,-0.0562660375664,0.011395143672,0.00134162159348
221,Utilities,116.599763289,117.783009144,1.18324585535,0.0101479267365,0.00770792534475,0.00927918277909
531,"Real Estate",82.1786633684,84.6150781011,2.43641473274,0.0296477775724,0.00543248960641,0.000867220681692
423,"Merchant Wholesalers, Durable Goods",75.5348261638,71.3204669897,-4.21435917406,-0.0557935906932,0.00499329316439,0.000806296257245
332,"Fabricated Metal Product Manufacturing",73.3695032041,68.9026217284,-4.46688147566,-0.0608819915713,0.00485015267037,0.00199273405205
213,"Support Activities for Mining",72.1184160955,65.7767001109,-6.34171598461,-0.0879347651813,0.00476744850562,0.0671140518232
902,"State Government",71.7333911284,78.4344326508,6.7010415224,0.0934159310885,0.00474199610659,0.000720510570707
711,"Performing Arts, Spectator Sports, and Related Industries",57.0749638178,61.7875608183,4.71259700045,0.0825685499423,0.00377298845002,0.000670009729684
488,"Support Activities for Transportation",54.9928774308,58.4428531064,3.44997567562,0.0627349547215,0.00363535037957,0.000956929939444
624,"Social Assistance",47.3633538975,53.0141075123,5.65075361481,0.119306450026,0.00313099431442,0.0001295547782
482,"Rail Transportation",43.3999562036,41.1754664317,-2.22448977193,-0.0512555764224,0.00286899057895,0.0215254930984
551,"Management of Companies and Enterprises",42.9113231438,43.1256595906,0.214336446806,0.00499486921175,0.00283668907987,0.000677129979742
532,"Rental and Leasing Services",41.9927371266,44.9217905468,2.92905342019,0.0697514289521,0.00277596517921,0.00193445418683
324,"Petroleum and Coal Products Manufacturing",40.1359632033,38.5398510114,-1.59611219182,-0.0397676314316,0.00265322157854,0.00737015468453
811,"Repair and Maintenance",33.9760386097,31.9804639177,-1.99557469206,-0.0587347664328,0.00224601458638,0.000666554634262
327,"Nonmetallic Mineral Product Manufacturing",31.3719704338,31.2175257148,-0.154444718958,-0.00492301620912,0.0020738704711,0.00449439896361
611,"Educational Services",30.9136710674,31.8112122306,0.897541163158,0.0290337941812,0.00204357420632,0.000171701890526
444,"Building Material and Garden Equipment and Supplies Dealers",27.087881049,26.7068921401,-0.380988908815,-0.0140649210666,0.00179066714189,0.00103103114814
901,"Federal Government",25.6266019137,25.712464388,0.0858624742882,0.00335052125043,0.00169406805657,0.000396699216659
337,"Furniture and Related Product Manufacturing",22.0118380821,16.6932780876,-5.31855999453,-0.241622711138,0.00145511105557,0.00213025591835
449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",20.3395005491,19.1015101626,-1.23799038656,-0.0608663120104,0.00134455977749,0.000812869476139
722,"Food Services and Drinking Places",18.047011478,19.2644758351,1.21746435716,0.0674607182827,0.00119301286079,4.46577772909E-5
459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",13.3610472498,12.7227071751,-0.638340074762,-0.0477762006844,0.000883243257318,0.000278473550226
333,"Machinery Manufacturing",11.4425068643,10.5107348022,-0.931772062082,-0.0814307627806,0.000756416532755,0.000856861898951
212,"Mining (except Oil and Gas)",10.7983658379,10.2520485797,-0.546317258203,-0.0505925865455,0.000713835048856,0.0270635631517
424,"Merchant Wholesalers, Nondurable Goods",10.0252778003,9.42640754658,-0.598870253732,-0.0597360258399,0.000662729414415,0.000105405610168
517,Telecommunications,9.11035443592,7.31615491398,-1.79419952194,-0.196940693643,0.000602247636494,0.000697764638763
