NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
111,"Crop Production",91.3293481583,90.2023816429,-1.12696651537,-0.0123395878553,0.139507940078,0.0235856091435
424,"Merchant Wholesalers, Nondurable Goods",89.6918165595,84.9300193248,-4.76179723463,-0.0530906543907,0.137006568232,0.000943018322273
541,"Professional, Scientific, and Technical Services",58.8652578391,58.6837570606,-0.18150077854,-0.00308332597534,0.0899182029534,0.000157666693809
561,"Administrative and Support Services",38.5626333094,38.7766212228,0.213987913413,0.00554910012749,0.058905419183,0.00012720573485
611,"Educational Services",35.9876129618,36.7424152205,0.754802258707,0.0209739462161,0.0549720090406,0.000199883772057
115,"Support Activities for Agriculture and Forestry",32.2433212406,28.2935860831,-3.94973515741,-0.122497776452,0.0492525066504,0.0255969406585
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",27.6488517308,28.5824532655,0.933601534722,0.0337663764055,0.0422343357121,0.000393426273553
459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",23.4134349281,22.3150858717,-1.09834905641,-0.046911060243,0.035764627065,0.000487987372957
902,"State Government",22.9727504194,24.243409009,1.27065858964,0.0553115567983,0.0350914700867,0.000230744835216
903,"Local Government",18.1015190865,18.499800264,0.398281177492,0.0220026383194,0.0276505383096,3.88782378259E-5
713,"Amusement, Gambling, and Recreation Industries",15.3938581024,17.4172531897,2.02339508733,0.131441713564,0.0235145161662,0.000320562607488
311,"Food Manufacturing",13.808909721,12.2248629047,-1.58404681628,-0.114711939486,0.0210934665444,0.000339716243736
425,"Wholesale Electronic Markets and Agents and Brokers",13.0557109922,9.08839784054,-3.96731315166,-0.303875687355,0.0199429360168,0.00135888006566
445,"Food and Beverage Stores",12.0576243349,12.4456570208,0.388032685905,0.0321815205988,0.0184183328483,0.00011783109786
551,"Management of Companies and Enterprises",11.9894357774,11.9632018815,-0.026233895947,-0.00218808427969,0.0183141730642,0.000189190307134
444,"Building Material and Garden Equipment and Supplies Dealers",11.4827055598,10.9938548775,-0.488850682251,-0.0425727786631,0.0175401295583,0.000437059918996
624,"Social Assistance",10.3232556641,11.9117665031,1.588510839,0.153876925138,0.015769039872,2.82375927338E-5
712,"Museums, Historical Sites, and Similar Institutions",8.71171686576,12.8131127,4.10139583422,0.470790763453,0.013307372701,0.00136578662921
458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",8.14276603677,8.34158033839,0.198814301615,0.0244160646048,0.012438285603,0.000143948869778
456,"Health and Personal Care Retailers",8.00469940524,8.2555960073,0.250896602064,0.0313436631862,0.0122273852544,0.000224659853297
113,"Forestry and Logging",7.93866949252,8.01803789487,0.0793684023444,0.00999769576239,0.012126522856,0.120964193737
531,"Real Estate",7.88122911786,7.8994892235,0.0182601056362,0.00231691089843,0.0120387811989,8.31695796453E-5
812,"Personal and Laundry Services",7.54630984435,7.66722697251,0.12091712816,0.0160233452712,0.0115271833513,7.53450469829E-5
423,"Merchant Wholesalers, Durable Goods",7.47457988948,7.11014817111,-0.364431718373,-0.0487561473369,0.0114176139911,7.97873788218E-5
711,"Performing Arts, Spectator Sports, and Related Industries",7.34170569631,7.58722376073,0.245518064421,0.0334415563054,0.0112146452264,8.61851487931E-5
312,"Beverage and Tobacco Product Manufacturing",6.55368289415,7.59749966136,1.04381676721,0.159271784136,0.0100109200265,0.000896274710863
533,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)",5.90242472877,4.37010226462,-1.53232246415,-0.259608980134,0.00901610634458,0.0105638600533
623,"Nursing and Residential Care Facilities",5.58996071238,5.99045172532,0.400491012941,0.0716446918945,0.00853880948268,5.75045489879E-5
237,"Heavy and Civil Engineering Construction",5.1725408059,3.66876157911,-1.50377922679,-0.290723511563,0.00790118978567,0.000288575442109
112,"Animal Production and Aquaculture",4.94190918397,4.46397827296,-0.477930911005,-0.0967097721172,0.00754889402159,0.0209860889045
484,"Truck Transportation",4.74447045196,5.06302526037,0.318554808414,0.0671423316132,0.00724730125486,0.000102524812709
621,"Ambulatory Health Care Services",4.17476803543,4.69280988577,0.518041850341,0.12408877474,0.00637706608742,1.42315942688E-5
455,"General Merchandise Retailers",4.1426428694,4.08670066087,-0.0559422085288,-0.0135039901561,0.00632799406591,5.66244361051E-5
524,"Insurance Carriers and Related Activities",3.88135460355,3.76499846976,-0.116356133785,-0.0299782281367,0.0059288694858,6.70783883115E-5
325,"Chemical Manufacturing",3.54555364637,3.32741556914,-0.218138077232,-0.0615244046457,0.00541592484361,0.000183996342982
441,"Motor Vehicle and Parts Dealers",3.3426910205,3.04719582443,-0.295495196065,-0.0884003918557,0.00510604693881,7.48307395551E-5
