NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
561,"Administrative and Support Services",3305.30821183,3202.98166599,-102.326545847,-0.0309582463386,0.752033259233,0.0109031496013
903,"Local Government",398.752153903,415.021571623,16.2694177205,0.0408008271837,0.0907252403427,0.000856435363183
713,"Amusement, Gambling, and Recreation Industries",169.10094968,179.478810149,10.3778604692,0.0613707994476,0.0384743358794,0.00352136813251
531,"Real Estate",61.182355753,62.9942882297,1.81193247667,0.0296152780384,0.0139203860747,0.000645649394731
812,"Personal and Laundry Services",58.0592880491,60.0992291443,2.03994109524,0.0351354824316,0.0132098167015,0.000579684624152
611,"Educational Services",54.1197297388,55.4805942207,1.36086448183,0.0251454411986,0.0123134770302,0.000300593866405
541,"Professional, Scientific, and Technical Services",48.718635168,47.3458477015,-1.37278746649,-0.0281778720147,0.0110846044129,0.00013048963711
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",42.4068047721,43.0630011483,0.656196376186,0.0154738462309,0.00964851855335,0.000603422931891
902,"State Government",36.0755671639,38.5614223023,2.48585513844,0.0689068900054,0.0082080171089,0.000362353251072
721,Accommodation,28.6886439768,33.8234654762,5.13482149944,0.178984461712,0.0065273230362,0.000589291795106
238,"Specialty Trade Contractors",26.9638566472,26.8954957411,-0.068360906062,-0.00253527924275,0.00613489444744,0.000201097102886
711,"Performing Arts, Spectator Sports, and Related Industries",23.8777616939,25.3084566498,1.43069495587,0.059917465222,0.00543273722117,0.000280303859833
712,"Museums, Historical Sites, and Similar Institutions",16.9831380238,19.6949024303,2.71176440645,0.159673930851,0.00386405255471,0.00266254553405
623,"Nursing and Residential Care Facilities",12.0873148145,12.8800121295,0.79269731498,0.0655809273728,0.00275014073506,0.000124343554927
814,"Private Households",12.0359333332,11.5174315581,-0.518501775157,-0.0430794821475,0.00273845027223,0.000111499134356
444,"Building Material and Garden Equipment and Supplies Dealers",11.2165800347,10.7396014399,-0.476978594785,-0.0425244230693,0.00255202864614,0.000426930529206
722,"Food Services and Drinking Places",10.9792058998,12.4448561096,1.46565020978,0.133493280221,0.00249802059821,2.71683171755E-5
221,Utilities,10.5855681654,10.6793043001,0.0937361346989,0.0088550877227,0.00240845900534,0.000842415276469
424,"Merchant Wholesalers, Nondurable Goods",10.2348175488,8.63861637414,-1.59620117464,-0.155957951085,0.00232865521324,0.000107608707727
237,"Heavy and Civil Engineering Construction",9.42439018335,9.33628466071,-0.0881055226412,-0.00934867094073,0.00214426444121,0.000525785617905
236,"Construction of Buildings",9.05804065503,10.3486451888,1.29060453373,0.14248164508,0.00206091153971,0.000140379814843
624,"Social Assistance",7.83851356937,7.95288398792,0.114370418554,0.0145908299503,0.00178344121919,2.14409834468E-5
551,"Management of Companies and Enterprises",5.4623262302,5.72386669285,0.261540462654,0.0478807840528,0.00124280422116,8.61941459415E-5
622,Hospitals,4.18520025058,4.18344692669,-0.00175332388977,-0.000418934288635,0.000952228834128,3.39787911103E-5
488,"Support Activities for Transportation",3.77020979909,3.49746652844,-0.27274327065,-0.0723416693457,0.000857809009475,6.56053438789E-5
459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",3.02875011095,2.78356618254,-0.245183928403,-0.0809521814022,0.000689109962327,6.31257999744E-5
311,"Food Manufacturing",2.70302759195,2.85103041352,0.148002821576,0.0547544620028,0.000615000635188,6.64978190752E-5
562,"Waste Management and Remediation Services",2.53446110579,2.76052161025,0.226060504463,0.0891947025531,0.00057664790199,0.000165035756424
523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",1.60970703884,1.65809382558,0.0483867867382,0.0300593745139,0.000366245189025,5.24892690028E-5
111,"Crop Production",1.60325289345,1.60885712414,0.00560423068948,0.00349553754893,0.000364776723247,0.000414036636257
115,"Support Activities for Agriculture and Forestry",1.33002377377,0.871386027206,-0.458637746564,-0.344834247033,0.000302610845749,0.00105586330135
901,"Federal Government",1.27303290126,1.27302338254,-9.51872098209E-6,-7.47719950731E-6,0.000289644118033,1.97065204513E-5
312,"Beverage and Tobacco Product Manufacturing",1.08701416303,1.20309540893,0.116081245898,0.106789083203,0.0002473205981,0.00014865890224
621,"Ambulatory Health Care Services",1.08691003631,1.26807857731,0.181168541008,0.166682186157,0.000247296906888,3.70522685622E-6
493,"Warehousing and Storage",0.923501181701,0.900518156019,-0.0229830256822,-0.0248868394947,0.0002101176529,4.17720054865E-5
524,"Insurance Carriers and Related Activities",0.655434381658,0.391535219785,-0.263899161873,-0.40263246674,0.000149126321257,1.13273551263E-5
457,"Gasoline Stations and Fuel Dealers",0.211964674538,0.263812401967,0.0518477274296,0.24460551053,4.82268142088E-5,1.53976127307E-5
112,"Animal Production and Aquaculture",0,0,0,0,0,0
113,"Forestry and Logging",0,0,0,0,0,0
114,"Fishing, Hunting and Trapping",0,0,0,0,0,0
211,"Oil and Gas Extraction",0,0,0,0,0,0
212,"Mining (except Oil and Gas)",0,0,0,0,0,0
213,"Support Activities for Mining",0,0,0,0,0,0
313,"Textile Mills",0,0,0,0,0,0
314,"Textile Product Mills",0,0,0,0,0,0
315,"Apparel Manufacturing",0,0,0,0,0,0
316,"Leather and Allied Product Manufacturing",0,0,0,0,0,0
321,"Wood Product Manufacturing",0,0,0,0,0,0
322,"Paper Manufacturing",0,0,0,0,0,0
323,"Printing and Related Support Activities",0,0,0,0,0,0
324,"Petroleum and Coal Products Manufacturing",0,0,0,0,0,0
325,"Chemical Manufacturing",0,0,0,0,0,0
