NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
811,"Repair and Maintenance",1725.89585954,1628.75657627,-97.1392832754,-0.0562833978297,0.184920457486,0.0338592705479
424,"Merchant Wholesalers, Nondurable Goods",1573.25470369,1393.45546773,-179.799235956,-0.114284886951,0.168565778717,0.0165411747481
423,"Merchant Wholesalers, Durable Goods",1562.91446552,1333.45304999,-229.461415532,-0.146816361736,0.167457877819,0.0166833254003
449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",552.072684334,479.471161576,-72.6015227576,-0.131507181605,0.059151618441,0.0220636211111
524,"Insurance Carriers and Related Activities",484.400930678,491.578823024,7.17789234573,0.0148180812446,0.0519009540537,0.00837151897865
541,"Professional, Scientific, and Technical Services",413.456028736,423.192799636,9.73677090031,0.0235497132067,0.0442995894344,0.00110741458509
522,"Credit Intermediation and Related Activities",375.911636231,349.34510197,-26.5665342615,-0.0706722849227,0.0402769097347,0.00771082012004
532,"Rental and Leasing Services",301.33908061,285.140615323,-16.1984652869,-0.053754943614,0.0322868615372,0.013881606345
561,"Administrative and Support Services",242.620490175,232.911022546,-9.70946762904,-0.0400191575824,0.0259954804287,0.000800327028882
531,"Real Estate",194.11978451,199.00382109,4.88403657961,0.0251599114018,0.0207988907096,0.00204852068594
517,Telecommunications,175.960982405,132.194071543,-43.7669108611,-0.248730771237,0.018853272743,0.0134769017152
425,"Wholesale Electronic Markets and Agents and Brokers",160.212035256,116.83969378,-43.3723414761,-0.270718372729,0.0171658577721,0.0166753799252
551,"Management of Companies and Enterprises",133.992529753,134.076634461,0.084104707608,0.000627682063791,0.0143565787963,0.00211436870994
516,"Broadcasting and Content Providers",110.495003501,117.053584598,6.55858109665,0.0593563590101,0.0118389452553,0.00340574607291
513,"Publishing Industries",97.1751556957,97.4015358651,0.226380169463,0.00232960953695,0.0104117952124,0.0047888467544
812,"Personal and Laundry Services",90.0882397919,84.1972181027,-5.89102168916,-0.0653916837844,0.00965247029496,0.000899473093437
523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",86.4699448381,82.4682842155,-4.00166062259,-0.046278052219,0.00926478945404,0.00281960883922
238,"Specialty Trade Contractors",67.0570523233,67.4883077582,0.431255434881,0.00643117196386,0.00718480244606,0.000500113137625
711,"Performing Arts, Spectator Sports, and Related Industries",52.7627729254,53.2886751617,0.525902236355,0.00996729715285,0.00565324729974,0.000619388412368
488,"Support Activities for Transportation",50.0916825261,50.7220971412,0.630414615115,0.0125852154155,0.00536705433167,0.000871644346792
334,"Computer and Electronic Product Manufacturing",44.2371392391,38.33392616,-5.90321307913,-0.133444729489,0.00473977151097,0.00156286197509
444,"Building Material and Garden Equipment and Supplies Dealers",37.8269174423,37.5888652783,-0.238052164013,-0.00629319490219,0.00405295072704,0.00143978519584
518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",36.2661058239,40.2415434981,3.97543767419,0.109618542821,0.00388571815797,0.00335249803643
459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",35.0832087573,35.6656341081,0.582425350848,0.0166012565976,0.00375897710027,0.000731211073
512,"Motion Picture and Sound Recording Industries",34.3534341627,30.5214599479,-3.83197421484,-0.111545593861,0.00368078567803,0.000267374646508
621,"Ambulatory Health Care Services",34.0098231241,36.6565315745,2.6467084504,0.0778218822471,0.00364396960358,0.000115937939485
236,"Construction of Buildings",32.4651270893,33.0687192977,0.603592208357,0.0185920174191,0.00347846373262,0.000503138449386
721,Accommodation,31.8979479666,36.8582597418,4.96031177523,0.155505670159,0.00341769354057,0.000655213924808
441,"Motor Vehicle and Parts Dealers",31.5128576172,30.5902586198,-0.922598997381,-0.0292769068609,0.00337643318109,0.000705458693768
713,"Amusement, Gambling, and Recreation Industries",30.4331679346,33.1580356605,2.7248677259,0.0895361183481,0.00326075023942,0.000633742080923
332,"Fabricated Metal Product Manufacturing",29.9203995862,27.1422888574,-2.77811072873,-0.0928500543828,0.00320580986914,0.00081264553394
312,"Beverage and Tobacco Product Manufacturing",29.8820031375,34.1912132214,4.30921008385,0.14420753736,0.00320169589621,0.00408663100651
519,"Web Search Portals, Libraries, Archives, and Other Information Services",29.6831445732,32.2657681333,2.58262356005,0.0870064003387,0.00318038927074,0.0043773412028
611,"Educational Services",29.394470498,33.0013362962,3.60686579824,0.122705588403,0.0031494593964,0.000163263888799
325,"Chemical Manufacturing",28.8262543708,26.9981614893,-1.82809288154,-0.0634176351193,0.0030885780949,0.0014959371413
333,"Machinery Manufacturing",23.3988530874,21.7102879593,-1.68856512804,-0.0721644399294,0.00250706124222,0.001752202199
562,"Waste Management and Remediation Services",21.6493146332,23.7910914885,2.14177685535,0.0989304692383,0.00231960760789,0.00140973203668
311,"Food Manufacturing",21.4251673311,21.7065245759,0.281357244809,0.0131320908939,0.0022955914302,0.000527085592867
