NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
621,"Ambulatory Health Care Services",5202.58708232,5308.66614818,106.07906586,0.0203896761711,0.110671378778,0.0177353826309
541,"Professional, Scientific, and Technical Services",4336.9097431,4348.66789118,11.7581480727,0.00271118117951,0.0922563665561,0.0116161254642
903,"Local Government",4273.61191695,4210.42118164,-63.1907353102,-0.0147862596179,0.0909098715176,0.00917881530766
561,"Administrative and Support Services",2929.3227634,2734.60608449,-194.716678908,-0.0664715685623,0.0623136497251,0.00966289443307
522,"Credit Intermediation and Related Activities",1893.32410872,1589.91614771,-303.407961017,-0.160251464405,0.0402754987608,0.0388364717242
611,"Educational Services",1817.83529948,1795.51404213,-22.321257344,-0.012279031742,0.038669672569,0.0100966901312
551,"Management of Companies and Enterprises",1512.36406655,1442.43025287,-69.9338136802,-0.0462413880539,0.032171574221,0.0238647278788
524,"Insurance Carriers and Related Activities",1260.60718564,1133.33437656,-127.272809084,-0.100961513256,0.0268161076644,0.0217860790739
488,"Support Activities for Transportation",1256.33067656,1220.23136388,-36.0993126799,-0.0287339259904,0.0267251361634,0.0218613844995
423,"Merchant Wholesalers, Durable Goods",1231.4116125,1093.87254417,-137.539068335,-0.111692196937,0.0261950485101,0.0131446992694
721,Accommodation,1180.42856469,1264.86055414,84.4319894496,0.0715265556724,0.0251105180435,0.0242471156337
424,"Merchant Wholesalers, Nondurable Goods",1113.01728746,1007.75785627,-105.259431182,-0.0945712455399,0.0236765201347,0.0117022459277
902,"State Government",1093.83210132,1121.72394179,27.8918404705,0.0254991972139,0.0232684056778,0.0109867605474
512,"Motion Picture and Sound Recording Industries",1007.59053319,934.451024752,-73.1395084366,-0.0725885228448,0.0214338427762,0.00784213192079
622,Hospitals,941.173136598,923.974542294,-17.1985943037,-0.0182735711794,0.0200209870682,0.00764119360898
445,"Food and Beverage Stores",915.184619176,891.18640982,-23.9982093555,-0.0262222603534,0.0194681496029,0.00894348716021
238,"Specialty Trade Contractors",889.001836831,860.891072596,-28.1107642347,-0.0316205918482,0.0189111796616,0.00663019745975
624,"Social Assistance",875.544604023,973.338637592,97.7940335687,0.111695090255,0.0186249123707,0.00239491036095
531,"Real Estate",873.428731206,859.24638197,-14.1823492365,-0.0162375574902,0.0185799027326,0.00921717911485
481,"Air Transportation",793.987518223,827.073093875,33.0855756521,0.0416701458055,0.0168899995299,0.022803029268
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",764.85388999,741.897910686,-22.955979304,-0.0300135484757,0.0162702580908,0.010883403719
901,"Federal Government",715.351026301,682.918397436,-32.4326288654,-0.0453380615571,0.0152172146547,0.0110736176698
455,"General Merchandise Retailers",656.08721118,619.015016625,-37.0721945549,-0.0565049797088,0.013956532608,0.00896784239917
623,"Nursing and Residential Care Facilities",458.554491406,481.595893592,23.0414021859,0.0502479042682,0.00975454269308,0.00471720117036
441,"Motor Vehicle and Parts Dealers",441.990942671,417.147726656,-24.8432160149,-0.0562075228619,0.00940219668772,0.00989457563201
812,"Personal and Laundry Services",432.796211245,453.10864426,20.3124330146,0.0469330194831,0.00920660292095,0.00432119162119
236,"Construction of Buildings",383.453692865,373.510614106,-9.94307875828,-0.0259303246867,0.0081569704102,0.00594269339862
811,"Repair and Maintenance",334.823965731,314.325255343,-20.4987103876,-0.0612223511027,0.00712250066153,0.0065687018014
523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",329.915236099,336.157013495,6.24177739539,0.0189193365823,0.00701808032838,0.0107578641069
493,"Warehousing and Storage",329.038077145,322.28228828,-6.75578886514,-0.0205319363757,0.00699942107495,0.014883121577
484,"Truck Transportation",315.574228407,328.398978299,12.8247498915,0.0406394082184,0.00671301304758,0.00681934664592
332,"Fabricated Metal Product Manufacturing",308.175412815,270.222191749,-37.9532210656,-0.123154604448,0.00655562267428,0.00837012126702
459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",301.938497278,270.341527513,-31.5969697657,-0.104647039217,0.00642294867368,0.006293060994
444,"Building Material and Garden Equipment and Supplies Dealers",293.937987747,278.241788065,-15.6961996819,-0.0533996976786,0.00625275884181,0.0111880002884
713,"Amusement, Gambling, and Recreation Industries",279.830699721,291.348357235,11.5176575144,0.0411593778877,0.00595266333318,0.00582721096695
711,"Performing Arts, Spectator Sports, and Related Industries",279.478445939,292.034790378,12.5563444383,0.0449277739331,0.00594517005896,0.0032808304288
456,"Health and Personal Care Retailers",271.822000847,269.737718459,-2.08428238794,-0.00766782078507,0.00578229929458,0.00762895491034
458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",265.149648551,254.848798089,-10.3008504616,-0.0388491952297,0.0056403625203,0.00468734973577
516,"Broadcasting and Content Providers",244.51866133,243.237045778,-1.28161555168,-0.00524138135187,0.00520149244179,0.00753670703823
513,"Publishing Industries",243.132083152,232.900994202,-10.2310889492,-0.0420803738305,0.00517199663204,0.0119816868721
336,"Transportation Equipment Manufacturing",221.410082819,222.04158819,0.631505370548,0.00285219788777,0.00470991811445,0.00358089178383
449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",218.660392758,187.609698055,-31.0506947028,-0.14200420255,0.00465142567877,0.00873877696671
221,Utilities,211.748890191,196.251497991,-15.4973921993,-0.0731875958611,0.00450440161047,0.0168512919746
334,"Computer and Electronic Product Manufacturing",208.536109356,165.093835125,-43.4422742304,-0.208320153112,0.0044360581346,0.00736741031067
532,"Rental and Leasing Services",199.035171001,198.883046355,-0.152124645744,-0.000764310372778,0.00423395061947,0.00916883361776
315,"Apparel Manufacturing",194.400478141,127.040223888,-67.3602542525,-0.346502513248,0.00413535969905,0.00937780635571
518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",185.637549369,198.021811747,12.3842623777,0.0667120548603,0.00394895139988,0.0171606381664
311,"Food Manufacturing",178.190362214,168.773851437,-9.41651077738,-0.0528452305745,0.00379053204862,0.0043837031123
517,Telecommunications,174.150514462,121.569868998,-52.5806454644,-0.301926443495,0.00370459489587,0.0133382374603
325,"Chemical Manufacturing",171.642553974,157.182545083,-14.4600088914,-0.0842448947339,0.00365124462211,0.00890738242351
339,"Miscellaneous Manufacturing",168.288552107,157.438109074,-10.8504430329,-0.0644752295806,0.0035798970396,0.00871198880929
562,"Waste Management and Remediation Services",149.852014227,157.059212059,7.20719783154,0.0480954351445,0.00318770810846,0.00975786941975
722,"Food Services and Drinking Places",149.358774175,157.82890633,8.47013215558,0.0567099737017,0.00317721572153,0.000369591989327
492,"Couriers and Messengers",134.088500525,130.432781975,-3.65571854992,-0.0272634755075,0.00285238074763,0.00311763695774
237,"Heavy and Civil Engineering Construction",132.65336691,130.174099192,-2.47926771816,-0.0186898212681,0.00282185204846,0.00740071571008
323,"Printing and Related Support Activities",126.818021657,94.1417595623,-32.6762620945,-0.257662607157,0.00269772040115,0.0121493606738
333,"Machinery Manufacturing",110.196900651,97.2855192406,-12.9113814106,-0.117166465975,0.00234414969691,0.00825199640869
485,"Transit and Ground Passenger Transportation",104.492796527,104.609146164,0.116349636904,0.00111347040917,0.00222280985999,0.00398050531415
425,"Wholesale Electronic Markets and Agents and Brokers",95.1140427014,66.9611367579,-28.1529059434,-0.29599105604,0.00202330149989,0.00989977310838
326,"Plastics and Rubber Products Manufacturing",87.509952466,78.1422969203,-9.36765554564,-0.107046744761,0.0018615444476,0.00753388570476
712,"Museums, Historical Sites, and Similar Institutions",83.8599705432,89.9464776335,6.08650709026,0.0725794088745,0.00178390066663,0.0131472163591
337,"Furniture and Related Product Manufacturing",71.7315328599,50.9912675169,-20.740265343,-0.289137350285,0.0015259000028,0.00694201555713
322,"Paper Manufacturing",63.0493135897,52.8303575814,-10.2189560083,-0.162078782885,0.00134120858634,0.0101019770558
519,"Web Search Portals, Libraries, Archives, and Other Information Services",55.2391816105,58.7298129445,3.49063133398,0.0631912210175,0.001175068537,0.00814606232422
483,"Water Transportation",53.6218038825,42.0434351485,-11.578368734,-0.215926505557,0.00114066307288,0.0212845593563
335,"Electrical Equipment, Appliance, and Component Manufacturing",52.5346848276,40.690504198,-11.8441806296,-0.225454491036,0.00111753746964,0.00780557747494
327,"Nonmetallic Mineral Product Manufacturing",51.6433552286,48.0174927931,-3.62586243552,-0.0702096604581,0.00109857677295,0.00739851016711
314,"Textile Product Mills",34.8921400651,24.9121781554,-9.97996190969,-0.286023210129,0.00074223865712,0.00994193074852
313,"Textile Mills",28.5188073063,20.0185209282,-8.50028637805,-0.298058971638,0.000606662738318,0.00760121149171
331,"Primary Metal Manufacturing",28.325462836,22.0952672176,-6.23019561842,-0.219950355427,0.000602549842415,0.00557352515817
525,"Funds, Trusts, and Other Financial Vehicles",27.2648427585,25.476066985,-1.78877577348,-0.0656074120553,0.000579987935332,0.0195158964353
457,"Gasoline Stations and Fuel Dealers",27.0493089455,24.7811436595,-2.26816528595,-0.0838529845817,0.000575403019427,0.0019649254513
324,"Petroleum and Coal Products Manufacturing",25.4689559302,23.192420275,-2.27653565525,-0.0893847263108,0.000541785158854,0.00467685661133
312,"Beverage and Tobacco Product Manufacturing",19.5402041789,21.2455374432,1.70533326426,0.0872730524533,0.000415666533568,0.00267229756665
321,"Wood Product Manufacturing",19.1712986122,17.2374921582,-1.93380645394,-0.100869872879,0.000407819036339,0.0057933137654
