Company,"Unique Postings from Aug 2024 - Jul 2025"
"Public Storage",98
"University of California",74
"West Coast Dental Services",65
"Kaiser Permanente",63
Amazon,43
"CVS Health",42
Walmart,40
"Abercrombie & Fitch",31
TJX,31
"Whole Foods",30
"Children's Dental Funzone",28
"Ucla Health Systems",27
"University of Southern California",27
"Dr Zak Dental Care",27
"Arthur J. Gallagher",26
Michaels,26
"JPMorgan Chase",25
"Restaurant Depot",24
Macy's,24
"VCA Animal Hospitals",22
"Marriott International",21
"American Airlines Group",21
"Keck Medical Center Of Usc",20
"Virtual Agent",19
"UnitedHealth Group",19
"H&R Block",19
"Pi Los Angeles Street",18
"Aveanna Healthcare",17
Cedars-Sinai,17
"Cathay Bank",17
"Edward Jones",16
"Arakelian Enterprises",16
Hilton,16
Apple,16
"California State University-Chancellors Office",15
"Royal Bank of Canada",15
"Proper Hospitality",15
"Ace Cash Express",14
"National Vision",14
Providence,14
"Altamed Health Services",14
"PIH Health",14
"Childrens Hospital Los Angeles",13
"Caliber Collision",13
"Marymount University",13
"Floor & Decor",12
"Valvoline Express Care",12
"Express Care",12
"Sps North America",12
"Westlake Services",11
"Best Buy",11
"PetVet Care Centers",11
"Harbor Freight Tools",11
"State of California",11
"Apla Health & Wellness",11
"Victoria's Secret",11
"Hankey Group Of Companies",11
"California State University-Long Beach",10
NBC,10
Skechers,10
PricewaterhouseCoopers,10
"City of Hope",10
"Five Below",10
"Pepperdine University",10
Honda,10
"U.S Storage Centers",10
"American Textile Maintenance",10
"Modern Animal",10
Sage,9
Marshalls,9
"Williams Lea",9
"LAZ Parking",9
"Los Angeles Unified School District",9
"Dental Office",9
"Penske Truck Leasing",9
CBRE,9
"Jda Tsg",9
Gofo,9
"California State University-Northridge",8
"University of California-Los Angeles",8
"Nippon Express",8
Optum,8
"Restore Dental",8
"Call The Car",8
LKQ,8
"Lockton Companies",8
Burlington,8
"Mission Community Hospital",8
"Skin Cancer Institute",8
"United States Department of Veterans Affairs",8
"Acuity Eye Group",8
"Comfort Dental Group",8
"Alliance For Housing And Healing",8
Penske,8
Axs,8
"Accor Group",8
"Bausch Health",8
"The Oncology Institute Of Hope And Innovation",8
"Walgreens Boots Alliance",7
Pico,7
"Domino's Pizza",7
"Azusa Pacific University",7
"Gold's Gym",7
"Fox News Network",7
"Toyota Motor",7
"Brilliant Earth",7
"Banfield Pet Hospital",7
"Ricoh Electronics",7
"Freeway Insurance Services America",7
Pennymac,7
"Sprouts Farmers Market",7
"Athens Services",7
Ceteramarketing,7
GardaWorld,7
"Marina Del Rey Hospital",7
Tumi,7
"Adrianas Insurance",7
"California State University-Dominguez Hills",6
Volvo,6
Confidental,6
"Engine Room",6
"Levine Associates",6
"Prime Healthcare Services",6
"International Education Corporation",6
"Mondrian & Co",6
Hyatt,6
"ABM Industries",6
"Esquire Deposition Solutions",6
Sevita,6
"Abrazo Health",6
"Citizens Business Bank",6
"Crate & Barrel",6
"Smart & Final",6
Servicetitan,6
"The Trade Desk",6
"California Physicians' Service",6
"Mount Saint Mary's University",6
"Dream Team Dental PLLC",6
"The Wound Pros",6
AutoNation,6
"Charles Schwab",6
"Fairmont Hotels & Resorts",6
"BH Smile",5
"Sheraton Hotels & Resorts",5
"Cma Cgm",5
Sodexo,5
Bonhams,5
"Iec Group",5
Servpro,5
"Salt Lake City",5
Tiktok,5
"Chrysalis Center",5
"Adventist Health",5
"Live Nation",5
"Homestreet Bank",5
"NAPA Auto Parts",5
"Heartland Payment Systems",5
"GAT Airline Ground Support",5
Kohl's,5
JCPenney,5
"Az Air Conditioning & Heating",5
"Monaco Motors",5
"CommonSpirit Health",5
"KF Sunray",5
"Miro & Co",5
Madhappy,5
"Jwch Institute",5
"Pih Health Physicians",5
Rusnak,5
Libertana,5
PetSmart,5
Deloitte,5
Siemens,5
"Vivian Vazquez",5
Accenture,5
BluePearl,5
"West Coast Self-Storage",5
"ACCESS ? South Bay",5
"The Tenants Law Firm",4
"Alura Workforce Solutions",4
"Regal Rexnord Corp",4
"The London West Hollywood At Beverly Hills",4
Prometric,4
Talentcompass,4
Herbalife,4
"Northern Impact",4
"The Boston Consulting Group (BCG)",4
"Thomson Reuters",4
Wss,4
"Panda Express",4
"Quinn Company",4
Ramada,4
Barry's,4
Fox,4
Deluxe,4
"Holding Hands",4
Pegasystems,4
"Cengage Learning",4
Crane,4
Richemont,4
"Internet Brands",4
"Morgan Lewis",4
Visionworks,4
"California State Polytechnic University-Pomona",4
"BrightSpring Health Services",4
"Veritext Corporation",4
"Patriot Electric",4
"AIDS Healthcare Foundation",4
Ramrod,4
"Guitar Center Stores",4
"Citrin Cooperman",4
Tesla,4
"Zachary Piper",4
"Caine & Weiner",4
"Cherry Hill Programs",4
"Elevance Health",4
"A-Max Insurance Services",4
Ryder,4
"22nd Century Technologies",4
Bloomingdale's,4
"Laser Eye Center",4
"Animal Dermatology Group",4
"Van Nuys Dental Care",4
"Child Care Resource Center",4
"Alpha Structural",4
"Cambrian Homecare",4
"Nail Garden",4
"Angeles Dental",4
"Crescent Hotels & Resorts",4
"Westchester Pediatric Dentistry",4
"Studio City Rehabilitation Center",4
"Dental Kidz Club",4
"Us National",4
"Nvision Eye Centers",4
"Hobby Lobby Stores",4
"Kossoris Search",4
"Acco Engineered Systems",4
"Los Angeles Regional Food Bank",4
BMO,4
"Puc Schools",4
"Catholic Charities USA",4
Georgia-Pacific,4
"L.A. Care Health Plan",4
"Able Home Care & Placement Services",4
"Mayflower Medical Group",4
"High End Hiring",4
Callee,4
"Brobston Group",4
"Gold Coast Dental",4
"Associated Students Ucla",4
"Elite Dental Group",4
"Compass Group",4
"Spanish Peaks Mountain Club",4
"Warby Parker",4
Chevrolet,4
"Del Amo Motorsports",4
"Bellwood Animal Hospital",4
"Office Depot",4
"Pendry West Hollywood",4
"California Postacute Care",4
Burrtec,4
"Montage International",4
Aramark,4
"Compass, Inc.",4
"Supercare Health",4
"Karl Storz",4
"J & S Properties And Management",4
"Roman Catholic Archdiocese Of Los Angeles",4
Cartier,4
"Service Corporation International",4
Kargo,4
"1 Hotel West Hollywood",4
"Aesthetic Mdr",4
"Zachary Piper Solutions",4
"Motion Picture Industry Pension & Health Plans",4
"360 Orthodontics",4
"Select LTC Pharmacy Corporation",3
CarMax,3
"Pinnacle Fertility",3
"Rad Tech Solutionz",3
"Sofitel Noosa Pacific Resort",3
Rezolut,3
"Speakeasy Fitness",3
"Cross Country Workforce Solutions Group",3
"Allied Universal",3
"Sonrava Health",3
Curacao,3
"Delta Dental",3
"InterContinental Hotels Group",3
"Mg Partners",3
Upsi,3
"Joni And Friends",3
Rainforest,3
"Global Online",3
"Epic Healthcare",3
"Ahmc Healthcare",3
"Paul Hastings & Company Limited",3
"Max Transport",3
"Granite Construction",3
"Revolution Foods",3
"XPO Logistics",3
"Smart Business Solutions Us",3
"Young Life",3
"Vic Group",3
Medtronic,3
"Mosaic Health",3
"Davis Wright Tremaine",3
"Brown And Caldwell",3
"Kennedy/Jenks Consultants",3
"Biola University",3
"Southern California Edison",3
Nissan,3
"The Hoxton",3
"ST Johns Community Health Improvement Centre",3
AT&T,3
"Janus Et Cie",3
Copart,3
"Briarcrest Nursing Center",3
"SCAN Health Plan",3
Telecare,3
"Water Wings Swim School",3
Sixt,3
"St. Francis Medical Center",3
"Universal Health Services",3
"Mercy Housing",3
"San Dimas Community Hospital",3
"Calibre Cpa Group, Pllc",3
"Loyola High School",3
"Casitas Care Center",3
"The College Board",3
UBS,3
"Navvis (Healthcare)",3
"Long Beach Transit",3
"Remington Hotels",3
"Builders FirstSource",3
"Southwest Airlines",3
"D Michael Miller D.D.S",3
Joybird,3
N&M,3
"Valet Living",3
"Tecolote Research",3
"California Institute of Technology",3
"Natural History Museum",3
"Landscape Development",3
"Sutter Health",3
"Regal Medical Group",3
"westdrift Manhattan Beach, Autograph Collection - Tesla Destination",3
Sunbit,3
"Single Grain",3
"Bridgestone Corporation",3
"Solar Optimum",3
"Fox Entertainment Group",3
"Serendipity Labs",3
Cintas,3
"OSI Systems",3
"Niagara Bottling",3
Rothy's,3
"Singer Vehicle Design",3
"Building Electronic Controls",3
"Arie Plumbing",3
"Viceroy Santa Monica",3
"Royal Packaging",3
"Cuddle Barn",3
"Quality Acceptance",3
"Moaddel Law Firm A.P.C",3
Chick-fil-A,3
"Super Pak",3
"Colonial Care Center",3
"Sirius XM Radio",3
"Weber Logistics",3
Goodwill,3
"Firststeps For Kids",3
"Imperial Healthcare Center",3
"California Healthcare And Rehabilitation Center",3
"Hamlin Dental Group",3
"Publicis Groupe",3
"281 Motorsports",3
Solarshoppers,3
"Study Smart Tutors",3
"E&S Ring Management",3
"Planned Parenthood",3
"Law Offices Of Bob Nehoray",3
"Dental Masters",3
"Los Angeles County Office Of Education",3
"Pediatric Associates",3
"Aba Works",3
"Quality Behavior Solutions",3
"Legal Aid Foundation Of Los Angeles",3
KPMG,3
"Catalyst Cannabis",3
"First Resonance",3
"Los Angeles Center For Ear Nose Throat And Allergy",3
Tigerconnect,3
"Dental Administrators",3
"First Legal Network",3
"Omid Farahmand Dmd",3
"Transformational Living Homes",3
"San Gabriel Valley Humane Society",3
SpaceX,3
"Citrus Valley Health Partners",3
"Scandal Italy",3
"Massive Audio",3
"Developmental Pathways",3
"Prudential Overall Supply",3
"Pasadena Unified School District",3
Sceg,3
Thrivent,3
Buildops,3
Ortholegal,3
"Northeast Wholesale Food Distribution Association",3
"Car Pros Automotive Group",3
"Helzberg Diamonds",3
"WSP Global",3
"Ernst & Young",3
Patagonia,3
"Ocean Park Optometry",3
"Lasting Impressions Dental Spa",3
"Sealed Air",3
Transdev,3
"Internet Matrix Incorporated",3
"Blackline Systems LTD",3
"Veterinary Emergency Group",3
"William S. Hart Union High School District",3
"Foothill Transit",3
"Mars Incorporated",3
Telacu,3
"J Paul Getty Trust The",3
"Long Beach Unified School District",3
"The Fairmont Hotel Corporation",3
"AEG Worldwide",3
"Pih Health Good Samaritan Hospital",3
"Kids Dentist",3
"Eps Gmbh Co. Kg",3
"Norwalk Village Dental Center",3
"G.M.Corporation Ltd.",3
"Liquid I.V.",3
"Vistra Energy",3
"The Pest Group LLC",3
"Vintage Grocers",3
"Mayo Dental",3
"Berman Skin Institute",3
"Alo Yoga",3
"Recharge Payments",3
"Westdrift Manhattan Beach",3
"360 Behavioral Health",3
Samsung,3
"Elegant Tex Limited",3
"Dental International B.V.",3
"Snappyhires Pvt Ltd",3
"Department Of Industrial Relations",3
"Springboard Hospitality",3
"Hollywood Academy Of Music",3
"Home Remodeling Expert",3
Cloudkitchens,3
"Nonzero Architecture",3
"Es Ring Management Corporation",3
"Moonbug Entertainment",3
"Valley Palms Care Center",3
"Treasure Creek",3
"Max Benjamin Partners",3
"Larson Jewelers",3
Travelers,3
"Hibbett Sports",3
Helpmates,3
"Phynet Dermatology",3
"California Fair Plan Association",3
"Family Care Specialists Medical Group",3
"University of La Verne",2
"Southern California Dental Corporation",2
SKIMS,2
"Growing Smiles Pediatric Dentistry and Orthodontics",2
"Clean Smile Dental",2
"Karen Khachatryan DDS",2
"Companion Pet Partners California, LP",2
"Den Mother Wellness",2
"Cloud Comfort Hvac",2
"The ODP Corporation",2
"World Market",2
"Morgan, Lewis & Bockius Llp",2
"Wolcott Architecture",2
"Shimahara Visual",2
"Lakewood Pet Vet",2
"Mcgrath Veterinary Center",2
"Rootvision Endo",2
"Pear Suite",2
"The Lisinski Law Firm",2
Beautyhealth,2
"Direct Counsel",2
"Bixby Animal Clinic",2
"Griffin Gaming Partners",2
"Los Angeles Marriott Burbank Airport",2
Evpassport,2
"Brightcraft Dental & Laser",2
Kidazzler,2
"The House Institute Foundation",2
"Allsafe Medical Group Ob/gyn",2
Hivewatch,2
"Tag Company Srl",2
"American Equipment Holdings",2
"Siemens Energy",2
NavitsPartners,2
"California State University-Los Angeles",2
"University of California-Irvine",2
"Astrana Health",2
Feufo,2
"Saber International Ltd",2
"Genesis Agency",2
"Aloft Hotel/Pyramid Hotel Group LLC.",2
"Four Seasons",2
Infosys,2
GHODS,2
"G.E.I. Srl",2
AKA,2
Westin,2
Overtime,2
"Deutsche Post DHL Group",2
Boeing,2
"Brunello Cucinelli",2
"ADT Security Services",2
Hasa,2
"ISS Global",2
Unilever,2
"Gallagher Benefit Services",2
"Air Canada",2
Jams,2
"The Home Depot",2
Fanatics,2
"Latham & Watkins",2
"Company Mission",2
Cbw,2
Tiffany,2
"Kuehne + Nagel",2
AAA,2
Mattel,2
"Morgan Services",2
"Konica Minolta",2
"Star Corporate Communications Limited",2
Inkspec,2
"Caruso Company",2
"Snap Inc.",2
Braven,2
"Culver Services",2
"Canonical Group",2
"Canton Food Co",2
"Family Dental",2
Adhp,2
"Altice USA",2
"Advantage Solutions",2
"Circle K",2
Covetrus,2
"Omni Hotels & Resorts",2
"Global Payments",2
Centr,2
"Epiq Systems",2
"Impact Networking",2
