Company,"Unique Postings from Aug 2024 - Jul 2025"
"Allied Universal",258
"American Security Programs",95
GardaWorld,76
Securitas,35
"Security Industry Specialists",15
Aeg,14
"AEG Worldwide",14
"Inter-Con Security Systems",10
"Patrol Solutions",10
"Rmi USA",8
"Merchants Building Maintenance",8
"Superior Protection Services",8
"Hollywood Park Management Company",8
"Mccray Global Protection Corp",8
"Four Seasons",6
"Steadfast Security",5
"Inter-Con Security",5
"Nationwide Guard Services",5
"Crypto.com Arena",4
"Blackstone Consulting",4
"Paragon Systems",4
"Professional Security Consultants",4
"Treston Security Services",4
"University of California",4
Freehand,4
"Absolute Security Agency",4
"Marksman Security Corporation",4
"Master Guard Security",3
"Unifi Aviation",3
"Vamo Digital",3
"GEO Group",3
"Aimbridge Hospitality",3
"Hollywood Park",3
"American Guard Services",3
"Four Seasons Hotels and Resorts",3
"Marymount University",3
"Kadima Security Services",3
"Close Range International",3
"University of Southern California",3
"The Gadite Group",3
"Archon Protection",3
"Industry Security Services",3
"Executive Protection And Security",3
"Innovative Advantage Security",3
Prosegur,3
"Sofi Stadium And Hollywood Park",2
"Dinasty Security",2
"Ucla Health Systems",2
"Marriott International",2
"Gsg Protective Services",2
"Lee Company",2
"Academy Of Motion Picture Arts And Sciences",2
"Command Security Services",2
Defense,2
"Reliance Security Services Ltd",2
"Prime Healthcare Services",2
"Platinum Security",2
"Alliance Ground International",2
"California Hospital Medical Center",2
"Michael Kors",2
"Metro One Loss Prevention Services Group",2
"Ermc Aviation",2
"Metcalfe Security",2
"Bare Truth",2
"Gs1 Group",2
"Agate Security",2
"All American Protective Services",2
"Los Angeles Lgbt Center",2
"Southwest Patrol",2
"Asc Protection",2
"Aegis Security & Investigations",2
"United States Department of Homeland Security",2
Hilton,2
"Capital Protection & Security",2
"L.A Live",2
"Citiguard Security",2
"ASM Global",2
"Securitech Security Services",2
"Keck Medical Center Of Usc",2
"Alltech Security Solutions",2
"Crisis24 Protective Solutions, LP",1
"Hurricane Harbor Phoenix",1
"Big Body Security",1
"Space Systems Command",1
NavitsPartners,1
"Jet Aviation",1
"Acs Security",1
a-team,1
AAA,1
Mattel,1
Fox,1
"Ags Pro LTD",1
"Areté Associates",1
Gssi,1
"Guardian Solutions",1
"Eagle Security Services",1
"Dorchester Services Limited",1
Securico,1
"Security Software",1
"Fox News Network",1
"Synergy Security Group LTD",1
Providence,1
"Montage Hotels & Resorts",1
"Western University of Health Sciences",1
"Southern California Edison",1
Cedars-Sinai,1
"Sphere Entertainment",1
"Santa Anita Park",1
"Surveillance Security",1
"Sony Pictures Entertainment",1
"Live Nation",1
"Atrium Hospitality",1
"Guard Services USA",1
"California Institute of Technology",1
"Terminal Security Solutions",1
"Fox Entertainment Group",1
"Valley Hunt Club",1
"Remington Lodging and Hospitality",1
"Smssi Of California",1
"Aquarium Of The Pacific",1
"Unified Protective Services",1
"Green Knight Security",1
"The Huntington Company",1
"CommonSpirit Health",1
"Palace Entertainment",1
"Overton Security Services",1
"American Asset Protection",1
"Orion Building Services",1
"Botanical Gardens",1
"The Beverly Hills Hotel",1
"Waldorf Astoria Beverly Hills",1
"Jwch Institute",1
"Mattel Hq",1
"Guardian Eagle Security",1
"Safety Zone Security",1
"Anello Security Consulting",1
"Trl Systems",1
"Journal Hotels",1
"Casa Colina Hospital & Centers For Healthcare",1
SpaceX,1
"Off Duty Officers",1
"Sun Hill Properties",1
"David Shield Security",1
"Secur Solution",1
"Fisotec Security",1
"Special Service For Groups",1
"Level One Protection",1
"MSG Entertainment Holdings",1
"Surefox North America",1
"Midnight Mission",1
"Spanish Peaks Mountain Club",1
"Hayventz Security",1
"Rocket Lab USA",1
"Pendry West Hollywood",1
"Armstrong guard services",1
"Madison Square Garden Entertainment",1
"Cedar Fair Entertainment Company",1
"Montage International",1
Unifi,1
"Rainbow Agency",1
Terranea,1
"Los Angeles Galaxy",1
"Elite Asset Protection Llp",1
"Roman Catholic Archdiocese Of Los Angeles",1
"Golden West K-9",1
"Vigilant Eye Security",1
ManTech,1
"American Sports Entertainment",1
"Dsi Security Svc",1
"Wolfpack Protective Services",1
"Service Corporation International",1
"Rea Security Services",1
"Fairmont Hotels & Resorts",1
"Non Stop Security Services",1
"S & S Labor Force",1
"Freedom Munitions",1
"La Philharmonic",1
"Accor Group",1
Protect,1
"DSI Security Services",1
"Penske Motor Group",1
"Good Guard Security",1
Unclassified,36
